judge,typeCase,reason,claimАmount,amountАwarded
"Петя ПР. Иванова",НАХД,"Електронен фиш",600,600
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",250,250
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",2000,0
"Петя ПР. Иванова",НАХД,"Електронен фиш",900,900
"Петя ПР. Иванова",НАХД,"глоба",1000,900
"Петя ПР. Иванова",НАХД,"глоба",920,920
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,0
"Петя ПР. Иванова",НАХД,"наказателно постановление",2000,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",300,300
"Петя ПР. Иванова",НАХД,"наказателно постановление",400,400
"Петя ПР. Иванова",НАХД,"глоба",650,650
"Петя ПР. Иванова",НАХД,"глоба",500,500
"Петя ПР. Иванова",НАХД,"Електронен фиш",400,400
